Feature,Importance
Loan-to-Income Ratio,0.28138293513183665
Interest Rate,0.16631696779316157
Person Home Ownership Rent,0.15727731380253443
Annual Income,0.13348712366348633
Loan Grade C,0.037758704302410316
Loan Intent Medical,0.03469565440503009
Loan Intent Debtconsolidation,0.03397429653177001
Loan Grade D,0.03239733193080498
Employment Length,0.030636074822122432
Person Home Ownership Own,0.017496594364938608
Age,0.014713358926058712
Loan Intent Homeimprovement,0.014258503758527906
Loan Amount,0.008388184035092401
Loan Grade E,0.007823098458217125
Loan Grade A,0.003908409146620743
Loan Intent Venture,0.0038939776915552535
Loan Grade G,0.0034832033705637674
Loan Grade F,0.0034615983261319394
Credit History,0.003241248270360791
Loan Intent Education,0.002906634145637071
Person Home Ownership Mortgage,0.002485067282321828
Person Home Ownership Other,0.0017883453405358341
Loan Intent Personal,0.0014846936653919937
Loan Grade B,0.0009773854059805334
Cb Person Default On File Y,0.0009342002107515685
Cb Person Default On File N,0.0008290952181572098
